module,content,type,combined
Trade License Issuance and Payment,TL6 | Apply for a Trade license | SMS and email notification in application process,Table,[Trade License Issuance and Payment] TL6 | Apply for a Trade license | SMS and email notification in application process
Trade License Issuance and Payment,TL7 | Apply for a Trade license | Respond to queries online,Table,[Trade License Issuance and Payment] TL7 | Apply for a Trade license | Respond to queries online
Trade License Issuance and Payment,TL8 | Apply for a Renewal of TL | Search and get details of existing trade,Table,[Trade License Issuance and Payment] TL8 | Apply for a Renewal of TL | Search and get details of existing trade
Trade License Issuance and Payment,TL9 | Apply for a Renewal of TL | Apply for a renewal of trade license online,Table,[Trade License Issuance and Payment] TL9 | Apply for a Renewal of TL | Apply for a renewal of trade license online
Trade License Issuance and Payment,TL10 | Apply for a Renewal of TL | Make payment for the application online,Table,[Trade License Issuance and Payment] TL10 | Apply for a Renewal of TL | Make payment for the application online
Trade License Issuance and Payment,TL11 | Apply for a Renewal of TL | Download renewal of license certificate online,Table,[Trade License Issuance and Payment] TL11 | Apply for a Renewal of TL | Download renewal of license certificate online
Trade License Issuance and Payment,TL12 | Processing Application Document scrutiny | Validate the submitted application and check the documents,Table,[Trade License Issuance and Payment] TL12 | Processing Application Document scrutiny | Validate the submitted application and check the documents
Trade License Issuance and Payment,TL13 | Processing Application Document scrutiny | Rejection of application in document scrutiny level,Table,[Trade License Issuance and Payment] TL13 | Processing Application Document scrutiny | Rejection of application in document scrutiny level
Trade License Issuance and Payment,TL14 | Processing Application Document scrutiny | Ask for additional documents to the citizen/applicant online,Table,[Trade License Issuance and Payment] TL14 | Processing Application Document scrutiny | Ask for additional documents to the citizen/applicant online
Trade License Issuance and Payment,TL15 | Field inspection by department official | upload field inspection report,Table,[Trade License Issuance and Payment] TL15 | Field inspection by department official | upload field inspection report
Trade License Issuance and Payment,TL16 | Field inspection by department official | Rejection of application in the field inspection level,Table,[Trade License Issuance and Payment] TL16 | Field inspection by department official | Rejection of application in the field inspection level
Trade License Issuance and Payment,TL17 | Field inspection by department official | Ask for any clarification from the citizen/applicant online,Table,[Trade License Issuance and Payment] TL17 | Field inspection by department official | Ask for any clarification from the citizen/applicant online
Trade License Issuance and Payment,TL18 | Field inspection by department official | Approve the application and generate demand by the system without manual intervention,Table,[Trade License Issuance and Payment] TL18 | Field inspection by department official | Approve the application and generate demand by the system without manual intervention
Trade License Issuance and Payment,TL19 | Create application by department officer | Provision to create application by the department officer on behalf of the citizen,Table,[Trade License Issuance and Payment] TL19 | Create application by department officer | Provision to create application by the department officer on behalf of the citizen
Trade License Issuance and Payment,TL20 | Create application by department officer | Provision to create license renewal application by the department officer on behalf of the citizen,Table,[Trade License Issuance and Payment] TL20 | Create application by department officer | Provision to create license renewal application by the department officer on behalf of the citizen
Trade License Issuance and Payment,TL21 | Create application by department officer | Make counter payment cash /cheque /DD,Table,[Trade License Issuance and Payment] TL21 | Create application by department officer | Make counter payment cash /cheque /DD
Trade License Issuance and Payment,"TL22 | Role-Based Access | Role-based access control for Citizens, CSC operators, ULB officials, State admins",Table,"[Trade License Issuance and Payment] TL22 | Role-Based Access | Role-based access control for Citizens, CSC operators, ULB officials, State admins"
Trade License Issuance and Payment,"TL23 | Role-Based Access | Approval workflow for assessments, mutations, and exemptions",Table,"[Trade License Issuance and Payment] TL23 | Role-Based Access | Approval workflow for assessments, mutations, and exemptions"
Trade License Issuance and Payment,"TL24 | Workflow Management | Configurable workflow for assessment, approval, and payment processing",Table,"[Trade License Issuance and Payment] TL24 | Workflow Management | Configurable workflow for assessment, approval, and payment processing"
Trade License Issuance and Payment,TL25 | Notifications & Alerts | Reminder notifications for issuance of the license or renewal of the license,Table,[Trade License Issuance and Payment] TL25 | Notifications & Alerts | Reminder notifications for issuance of the license or renewal of the license
Trade License Issuance and Payment,TL26 | Grievance Redressal | Citizen grievance submission and tracking for property tax issues,Table,[Trade License Issuance and Payment] TL26 | Grievance Redressal | Citizen grievance submission and tracking for property tax issues
Trade License Issuance and Payment,TL27 | Grievance Redressal | SLA-based grievance resolution tracking and escalation,Table,[Trade License Issuance and Payment] TL27 | Grievance Redressal | SLA-based grievance resolution tracking and escalation
Public Grievances & Redressal,Public Grievances & Redressal,Paragraph,[Public Grievances & Redressal] Public Grievances & Redressal
Public Grievances & Redressal,"Public Grievance & Redressal (PGR) is a web and mobile-enabled system designed to register and resolve public grievances. The seamless interface enables citizens to submit their grievances anytime and from anywhere. The complaints are routed to the concerned municipal departments and employees who work towards resolving the issues within a specified time limit. This digitized and easily configurable platform facilitates speedy and efficient resolution of civic complaints while providing the local urban bodies with an intuitive system that categorizes issues and helps them to initiate corrective actions, without any delay.",Paragraph,"[Public Grievances & Redressal] Public Grievance & Redressal (PGR) is a web and mobile-enabled system designed to register and resolve public grievances. The seamless interface enables citizens to submit their grievances anytime and from anywhere. The complaints are routed to the concerned municipal departments and employees who work towards resolving the issues within a specified time limit. This digitized and easily configurable platform facilitates speedy and efficient resolution of civic complaints while providing the local urban bodies with an intuitive system that categorizes issues and helps them to initiate corrective actions, without any delay."
Public Grievances & Redressal,"Digitize the grievance registration, tracking, and resolution process for citizens",Paragraph,"[Public Grievances & Redressal] Digitize the grievance registration, tracking, and resolution process for citizens"
Public Grievances & Redressal,Improve transparency and accountability in grievance handling by public authorities,Paragraph,[Public Grievances & Redressal] Improve transparency and accountability in grievance handling by public authorities
Public Grievances & Redressal,"Enable citizen self-service to lodge, track, and follow up on grievances through multiple channels",Paragraph,"[Public Grievances & Redressal] Enable citizen self-service to lodge, track, and follow up on grievances through multiple channels"
Public Grievances & Redressal,Ensure timely resolution of grievances through workflow-based assignment and escalation mechanisms,Paragraph,[Public Grievances & Redressal] Ensure timely resolution of grievances through workflow-based assignment and escalation mechanisms
Public Grievances & Redressal,Provide real-time status updates and notifications to citizens on grievance progress,Paragraph,[Public Grievances & Redressal] Provide real-time status updates and notifications to citizens on grievance progress
Public Grievances & Redressal,"Streamline grievance categorization, prioritization, and routing to the appropriate departments",Paragraph,"[Public Grievances & Redressal] Streamline grievance categorization, prioritization, and routing to the appropriate departments"
Public Grievances & Redressal,Enable integration with multiple departments and services for faster issue resolution,Paragraph,[Public Grievances & Redressal] Enable integration with multiple departments and services for faster issue resolution
Public Grievances & Redressal,Facilitate centralized monitoring and tracking of all grievances across departments and ULBs,Paragraph,[Public Grievances & Redressal] Facilitate centralized monitoring and tracking of all grievances across departments and ULBs
Public Grievances & Redressal,"Provide analytics and dashboards for monitoring grievance trends, resolution time, and performance metrics",Paragraph,"[Public Grievances & Redressal] Provide analytics and dashboards for monitoring grievance trends, resolution time, and performance metrics"
Public Grievances & Redressal,Ensure auditability and traceability of all actions taken on grievances,Paragraph,[Public Grievances & Redressal] Ensure auditability and traceability of all actions taken on grievances
Public Grievances & Redressal,"Enable escalation mechanisms for unresolved or delayed grievances Improve citizen satisfaction through efficient, transparent, and responsive governance",Paragraph,"[Public Grievances & Redressal] Enable escalation mechanisms for unresolved or delayed grievances Improve citizen satisfaction through efficient, transparent, and responsive governance"
Public Grievances & Redressal,Efficient public grievance redressal mechanism,Paragraph,[Public Grievances & Redressal] Efficient public grievance redressal mechanism
Public Grievances & Redressal,Simple user registration and login system,Paragraph,[Public Grievances & Redressal] Simple user registration and login system
Public Grievances & Redressal,Simplified complaint and sub complaint selection options,Paragraph,[Public Grievances & Redressal] Simplified complaint and sub complaint selection options
Public Grievances & Redressal,Easy complaint status tracking options,Paragraph,[Public Grievances & Redressal] Easy complaint status tracking options
Public Grievances & Redressal,Interactive dashboards,Paragraph,[Public Grievances & Redressal] Interactive dashboards
Public Grievances & Redressal,Auto-escalations and SLAs,Paragraph,[Public Grievances & Redressal] Auto-escalations and SLAs
Public Grievances & Redressal,Functional Requirements:,Paragraph,[Public Grievances & Redressal] Functional Requirements:
Public Grievances & Redressal,S.No. | Feature Category | Feature Details,Table,[Public Grievances & Redressal] S.No. | Feature Category | Feature Details
Public Grievances & Redressal,PGR 1 | Web & Mobile Platform | Provision for Citizens to Lodge and Track Complaints via Mobile App.,Table,[Public Grievances & Redressal] PGR 1 | Web & Mobile Platform | Provision for Citizens to Lodge and Track Complaints via Mobile App.
Public Grievances & Redressal,PGR 2 | Web & Mobile Platform | Provision for Citizens to Lodge and Track complaints via Web App.,Table,[Public Grievances & Redressal] PGR 2 | Web & Mobile Platform | Provision for Citizens to Lodge and Track complaints via Web App.
Public Grievances & Redressal,"PGR 3 | Web & Mobile Platform | Provision for Employees to Assign, Reassign, Resolve complaints via Mobile App.",Table,"[Public Grievances & Redressal] PGR 3 | Web & Mobile Platform | Provision for Employees to Assign, Reassign, Resolve complaints via Mobile App."
Public Grievances & Redressal,"PGR 4 | Web & Mobile Platform | Provision for Employees to Assign, Reassign, Resolve complaints via Web App.",Table,"[Public Grievances & Redressal] PGR 4 | Web & Mobile Platform | Provision for Employees to Assign, Reassign, Resolve complaints via Web App."
Public Grievances & Redressal,PGR 5 | Registration & Login Mechanism | Provision for Language Selection during first time registration via Mobile App.,Table,[Public Grievances & Redressal] PGR 5 | Registration & Login Mechanism | Provision for Language Selection during first time registration via Mobile App.
Public Grievances & Redressal,PGR 6 | Registration & Login Mechanism | OTP Based Login for Citizen via Web/Mobile App,Table,[Public Grievances & Redressal] PGR 6 | Registration & Login Mechanism | OTP Based Login for Citizen via Web/Mobile App
Public Grievances & Redressal,PGR 7 | Registration & Login Mechanism | Provision for language selection during first time registration of Employee via Mobile App,Table,[Public Grievances & Redressal] PGR 7 | Registration & Login Mechanism | Provision for language selection during first time registration of Employee via Mobile App
Public Grievances & Redressal,PGR 8 | Registration & Login Mechanism | OTP Based Login for Employee via Web/Mobile App,Table,[Public Grievances & Redressal] PGR 8 | Registration & Login Mechanism | OTP Based Login for Employee via Web/Mobile App
Public Grievances & Redressal,PGR 9 | Registration & Login Mechanism | Login Credentials for various hierarchy of employees.,Table,[Public Grievances & Redressal] PGR 9 | Registration & Login Mechanism | Login Credentials for various hierarchy of employees.
Public Grievances & Redressal,PGR 10 | Personalized Profile Section | Provision of Personalized Profile for Citizen on Web/Mobile App,Table,[Public Grievances & Redressal] PGR 10 | Personalized Profile Section | Provision of Personalized Profile for Citizen on Web/Mobile App
Public Grievances & Redressal,PGR 11 | Personalized Profile Section | Provision of Personalized Profile for Employee on Web/Mobile App,Table,[Public Grievances & Redressal] PGR 11 | Personalized Profile Section | Provision of Personalized Profile for Employee on Web/Mobile App
Public Grievances & Redressal,PGR 12 | Lodging a Complaint | Citizen : Upload Photograph,Table,[Public Grievances & Redressal] PGR 12 | Lodging a Complaint | Citizen : Upload Photograph
Public Grievances & Redressal,PGR 13 | Lodging a Complaint | Citizen : Select grievance from a list,Table,[Public Grievances & Redressal] PGR 13 | Lodging a Complaint | Citizen : Select grievance from a list
Public Grievances & Redressal,PGR 14 | Lodging a Complaint | Citizen : Capture Address,Table,[Public Grievances & Redressal] PGR 14 | Lodging a Complaint | Citizen : Capture Address
Public Grievances & Redressal,PGR 15 | Lodging a Complaint | Citizen : Capture additional details,Table,[Public Grievances & Redressal] PGR 15 | Lodging a Complaint | Citizen : Capture additional details
Public Grievances & Redressal,PGR 16 | Lodging a Complaint | CSC Employee : File a complaint on the behalf of the citizen.,Table,[Public Grievances & Redressal] PGR 16 | Lodging a Complaint | CSC Employee : File a complaint on the behalf of the citizen.
Public Grievances & Redressal,"PGR 17 | Lodging a Complaint | CSC Employee : Capture Complaint location, medium of complaint, complaint type and other details",Table,"[Public Grievances & Redressal] PGR 17 | Lodging a Complaint | CSC Employee : Capture Complaint location, medium of complaint, complaint type and other details"
Public Grievances & Redressal,PGR 18 | Lodging a Complaint | Grievance List : Two level comprehensive grievance list (Complaint Types & Subtypes),Table,[Public Grievances & Redressal] PGR 18 | Lodging a Complaint | Grievance List : Two level comprehensive grievance list (Complaint Types & Subtypes)
Public Grievances & Redressal,PGR 19 | Assigning a Complaint | Assigning Officer : Assign grievance to employees,Table,[Public Grievances & Redressal] PGR 19 | Assigning a Complaint | Assigning Officer : Assign grievance to employees
Public Grievances & Redressal,PGR 20 | Assigning a Complaint | Assigning Officer : Reject Complaints,Table,[Public Grievances & Redressal] PGR 20 | Assigning a Complaint | Assigning Officer : Reject Complaints
Public Grievances & Redressal,PGR 21 | Assigning a Complaint | Assigning Officer :Re-assign complaints,Table,[Public Grievances & Redressal] PGR 21 | Assigning a Complaint | Assigning Officer :Re-assign complaints
Public Grievances & Redressal,PGR 22 | Resolving a Complaint | Last Mile Employee : Add photograph and comments after resolution,Table,[Public Grievances & Redressal] PGR 22 | Resolving a Complaint | Last Mile Employee : Add photograph and comments after resolution
Public Grievances & Redressal,PGR 23 | Resolving a Complaint | Last Mile Employee : Request for re-assign of complaints,Table,[Public Grievances & Redressal] PGR 23 | Resolving a Complaint | Last Mile Employee : Request for re-assign of complaints
Public Grievances & Redressal,PGR 24 | Resolving a Complaint | Last Mile Employee : Interaction with assigning Officer (Call),Table,[Public Grievances & Redressal] PGR 24 | Resolving a Complaint | Last Mile Employee : Interaction with assigning Officer (Call)
Public Grievances & Redressal,PGR 25 | Manage Complaints | Assigning Officer : Complaint Worklist (Inbox),Table,[Public Grievances & Redressal] PGR 25 | Manage Complaints | Assigning Officer : Complaint Worklist (Inbox)
Public Grievances & Redressal,PGR 26 | Manage Complaints | Assigning Officer : View list of all complaints,Table,[Public Grievances & Redressal] PGR 26 | Manage Complaints | Assigning Officer : View list of all complaints
Public Grievances & Redressal,PGR 27 | Manage Complaints | Assigning Officer : Complaints organized as per configured SLA,Table,[Public Grievances & Redressal] PGR 27 | Manage Complaints | Assigning Officer : Complaints organized as per configured SLA
Public Grievances & Redressal,PGR 28 | Manage Complaints | Assigning Officer : Review submitted complaints,Table,[Public Grievances & Redressal] PGR 28 | Manage Complaints | Assigning Officer : Review submitted complaints
Public Grievances & Redressal,PGR 29 | Manage Complaints | Last Mile Employee : View list of all complaints,Table,[Public Grievances & Redressal] PGR 29 | Manage Complaints | Last Mile Employee : View list of all complaints
Public Grievances & Redressal,PGR 30 | Manage Complaints | Last Mile Employee : Complaints organized as per configured SLA,Table,[Public Grievances & Redressal] PGR 30 | Manage Complaints | Last Mile Employee : Complaints organized as per configured SLA
Public Grievances & Redressal,PGR 31 | Manage Complaints | Last Mile Employee : Review submitted complaints,Table,[Public Grievances & Redressal] PGR 31 | Manage Complaints | Last Mile Employee : Review submitted complaints
Public Grievances & Redressal,"PGR 32 | Search and View Complaints | CSC, GRO & LME : Search (By Complaint Number, Mobile No), View & Filter Complaints",Table,"[Public Grievances & Redressal] PGR 32 | Search and View Complaints | CSC, GRO & LME : Search (By Complaint Number, Mobile No), View & Filter Complaints"
Public Grievances & Redressal,PGR 33 | Track Complaints | Citizen : View all complaints filed - pending and completed,Table,[Public Grievances & Redressal] PGR 33 | Track Complaints | Citizen : View all complaints filed - pending and completed
Public Grievances & Redressal,"PGR 34 | Track Complaints | Citizen : Notifications via App, SMS, email for complaint updates",Table,"[Public Grievances & Redressal] PGR 34 | Track Complaints | Citizen : Notifications via App, SMS, email for complaint updates"
Public Grievances & Redressal,PGR 35 | Track Complaints | Citizen : View complaint timeline in the app,Table,[Public Grievances & Redressal] PGR 35 | Track Complaints | Citizen : View complaint timeline in the app
Public Grievances & Redressal,PGR 36 | Track Complaints | Citizen : Interaction with municipality (Call & Comments),Table,[Public Grievances & Redressal] PGR 36 | Track Complaints | Citizen : Interaction with municipality (Call & Comments)
Public Grievances & Redressal,PGR 37 | Track Complaints | Assigning Officer : Track Assigned Complaints with timeline view,Table,[Public Grievances & Redressal] PGR 37 | Track Complaints | Assigning Officer : Track Assigned Complaints with timeline view
Public Grievances & Redressal,PGR 38 | Track Complaints | Assigning Officer : Receive updates on complaints,Table,[Public Grievances & Redressal] PGR 38 | Track Complaints | Assigning Officer : Receive updates on complaints
Public Grievances & Redressal,"PGR 39 | Track Complaints | Assigning Officer : Interaction with Citizen (Call, Comments)",Table,"[Public Grievances & Redressal] PGR 39 | Track Complaints | Assigning Officer : Interaction with Citizen (Call, Comments)"
Public Grievances & Redressal,PGR 40 | Track Complaints | Assigning Officer : Interaction with Last Mile Employee (Call),Table,[Public Grievances & Redressal] PGR 40 | Track Complaints | Assigning Officer : Interaction with Last Mile Employee (Call)
Public Grievances & Redressal,"PGR 41 | Dashboard & Reports | State Dashboard : View Reports for Grievance filed, pending, completed and overdue .",Table,"[Public Grievances & Redressal] PGR 41 | Dashboard & Reports | State Dashboard : View Reports for Grievance filed, pending, completed and overdue ."
Public Grievances & Redressal,PGR 42 | Dashboard & Reports | State Dashboard : View Reports for SLA performance,Table,[Public Grievances & Redressal] PGR 42 | Dashboard & Reports | State Dashboard : View Reports for SLA performance
Public Grievances & Redressal,PGR 43 | Dashboard & Reports | State Dashboard : Drilldown by Various Levels,Table,[Public Grievances & Redressal] PGR 43 | Dashboard & Reports | State Dashboard : Drilldown by Various Levels
Public Grievances & Redressal,"PGR 44 | Dashboard & Reports | Reports : View Reports by State, ULB, Complaint Types.",Table,"[Public Grievances & Redressal] PGR 44 | Dashboard & Reports | Reports : View Reports by State, ULB, Complaint Types."
Public Grievances & Redressal,PGR 45 | Other Features | Configure assigning officer : Assigning officer can be at ULB / department level,Table,[Public Grievances & Redressal] PGR 45 | Other Features | Configure assigning officer : Assigning officer can be at ULB / department level
Public Grievances & Redressal,PGR 46 | Other Features | Workflow: Workflow for assigning officer (city / department level) followed by assigning to the last mile employee,Table,[Public Grievances & Redressal] PGR 46 | Other Features | Workflow: Workflow for assigning officer (city / department level) followed by assigning to the last mile employee
Public Grievances & Redressal,PGR 47 | Other Features | Overdue Tasks : Track and view overdue complaints from dashboards and grievances list,Table,[Public Grievances & Redressal] PGR 47 | Other Features | Overdue Tasks : Track and view overdue complaints from dashboards and grievances list
Public Grievances & Redressal,PGR 48 | Other Features | Citizen : Provide Feedback,Table,[Public Grievances & Redressal] PGR 48 | Other Features | Citizen : Provide Feedback
Public Grievances & Redressal,PGR 49 | Other Features | Citizen : Re-open Complaint,Table,[Public Grievances & Redressal] PGR 49 | Other Features | Citizen : Re-open Complaint
Public Grievances & Redressal,PGR 50 | Other Features | Citizen : List of Closed Complaints (View Citizen Feedback),Table,[Public Grievances & Redressal] PGR 50 | Other Features | Citizen : List of Closed Complaints (View Citizen Feedback)
Public Grievances & Redressal,"PGR 51 | Other Features | Assigning Officer : View, edit and update profile",Table,"[Public Grievances & Redressal] PGR 51 | Other Features | Assigning Officer : View, edit and update profile"
Public Grievances & Redressal,PGR 52 | Other Features | Assigning Officer : Department wise employee list,Table,[Public Grievances & Redressal] PGR 52 | Other Features | Assigning Officer : Department wise employee list
Public Grievances & Redressal,PGR 53 | Other Features | Assigning Officer : List of Closed Complaints (View Citizen Feedback),Table,[Public Grievances & Redressal] PGR 53 | Other Features | Assigning Officer : List of Closed Complaints (View Citizen Feedback)
Public Grievances & Redressal,"PGR 54 | Other Features | Last Mile Employee : View, edit and update profile",Table,"[Public Grievances & Redressal] PGR 54 | Other Features | Last Mile Employee : View, edit and update profile"
Public Grievances & Redressal,PGR 55 | Other Features | Last Mile Employee : Employee Directory,Table,[Public Grievances & Redressal] PGR 55 | Other Features | Last Mile Employee : Employee Directory
Public Grievances & Redressal,PGR 56 | Other Features | Last Mile Employee : List of Closed Complaints,Table,[Public Grievances & Redressal] PGR 56 | Other Features | Last Mile Employee : List of Closed Complaints
Public Grievances & Redressal,PGR 57 | Other Features | Last Mile Employee : View Citizen Feedback,Table,[Public Grievances & Redressal] PGR 57 | Other Features | Last Mile Employee : View Citizen Feedback
Public Grievances & Redressal,PGR 58 | Other Features | CSC : Capture Feedback,Table,[Public Grievances & Redressal] PGR 58 | Other Features | CSC : Capture Feedback
Public Grievances & Redressal,PGR 59 | Other Features | CSC : Re-open Complaint,Table,[Public Grievances & Redressal] PGR 59 | Other Features | CSC : Re-open Complaint
Public Grievances & Redressal,PGR 60 | Other Features | CSC : List of all Complaints,Table,[Public Grievances & Redressal] PGR 60 | Other Features | CSC : List of all Complaints
Public Grievances & Redressal,PGR 61 | Other Features | CSC : View Citizen Feedback on closed complaints,Table,[Public Grievances & Redressal] PGR 61 | Other Features | CSC : View Citizen Feedback on closed complaints
Public Grievances & Redressal,"PGR 62 | Role-Based Access | Role-based access control for Citizens, CSC operators, ULB officials, State admins",Table,"[Public Grievances & Redressal] PGR 62 | Role-Based Access | Role-based access control for Citizens, CSC operators, ULB officials, State admins"
Public Grievances & Redressal,"PGR 63 | Role-Based Access | Approval workflow for assessments, mutations, and exemptions",Table,"[Public Grievances & Redressal] PGR 63 | Role-Based Access | Approval workflow for assessments, mutations, and exemptions"
Public Grievances & Redressal,"PGR 64 | Workflow Management | Configurable workflow for assessment, approval, and payment processing",Table,"[Public Grievances & Redressal] PGR 64 | Workflow Management | Configurable workflow for assessment, approval, and payment processing"
Public Grievances & Redressal,PGR 65 | Notifications & Alerts | Reminder notifications for status of the grievance,Table,[Public Grievances & Redressal] PGR 65 | Notifications & Alerts | Reminder notifications for status of the grievance
Construction & Demolition Waste Management,Construction & Demolition Waste Management,Paragraph,[Construction & Demolition Waste Management] Construction & Demolition Waste Management
Construction & Demolition Waste Management,"The Construction & Demolition Waste Management module is a digital platform that enables citizens to responsibly dispose of construction and demolition waste. The system provides a step-by-step workflow for raising waste pick-up requests or directly depositing waste at designated facility centers. It captures all relevant details such as waste type, quantity, location, and ownership, ensuring proper handling and compliance with environmental regulations.",Paragraph,"[Construction & Demolition Waste Management] The Construction & Demolition Waste Management module is a digital platform that enables citizens to responsibly dispose of construction and demolition waste. The system provides a step-by-step workflow for raising waste pick-up requests or directly depositing waste at designated facility centers. It captures all relevant details such as waste type, quantity, location, and ownership, ensuring proper handling and compliance with environmental regulations."
Construction & Demolition Waste Management,"The module facilitates smooth interaction between citizens, authorized collection agencies, and municipal staff, promoting safe disposal, recycling, and sustainable urban management practices. It also provides real-time tracking of requests, notifications, and reports for better monitoring and operational efficiency.",Paragraph,"[Construction & Demolition Waste Management] The module facilitates smooth interaction between citizens, authorized collection agencies, and municipal staff, promoting safe disposal, recycling, and sustainable urban management practices. It also provides real-time tracking of requests, notifications, and reports for better monitoring and operational efficiency."
Construction & Demolition Waste Management,To provide a user-friendly digital platform for C&D waste disposal.,Paragraph,[Construction & Demolition Waste Management] To provide a user-friendly digital platform for C&D waste disposal.
Construction & Demolition Waste Management,To enable doorstep collection requests and facilitate direct deposit at facility centers.,Paragraph,[Construction & Demolition Waste Management] To enable doorstep collection requests and facilitate direct deposit at facility centers.
Construction & Demolition Waste Management,"To ensure proper segregation, tracking, and management of construction and demolition waste.",Paragraph,"[Construction & Demolition Waste Management] To ensure proper segregation, tracking, and management of construction and demolition waste."
Construction & Demolition Waste Management,"To maintain transparency, accountability, and compliance with environmental regulations.",Paragraph,"[Construction & Demolition Waste Management] To maintain transparency, accountability, and compliance with environmental regulations."
Construction & Demolition Waste Management,To reduce illegal dumping and promote sustainable urban practices.,Paragraph,[Construction & Demolition Waste Management] To reduce illegal dumping and promote sustainable urban practices.
Construction & Demolition Waste Management,To provide real-time status updates and notifications to citizens.,Paragraph,[Construction & Demolition Waste Management] To provide real-time status updates and notifications to citizens.
Construction & Demolition Waste Management,"To generate reports for municipal planning, monitoring, and audits.",Paragraph,"[Construction & Demolition Waste Management] To generate reports for municipal planning, monitoring, and audits."
Construction & Demolition Waste Management,Online submission of C&D waste collection requests,Paragraph,[Construction & Demolition Waste Management] Online submission of C&D waste collection requests
Construction & Demolition Waste Management,Option to deposit waste directly at designated centers,Paragraph,[Construction & Demolition Waste Management] Option to deposit waste directly at designated centers
Construction & Demolition Waste Management,"Capture waste details (type, quantity, and location)",Paragraph,"[Construction & Demolition Waste Management] Capture waste details (type, quantity, and location)"
Construction & Demolition Waste Management,Upload supporting documents if required,Paragraph,[Construction & Demolition Waste Management] Upload supporting documents if required
Construction & Demolition Waste Management,Real-time request tracking via “My Applications”,Paragraph,[Construction & Demolition Waste Management] Real-time request tracking via “My Applications”
Construction & Demolition Waste Management,Notifications for request status and updates,Paragraph,[Construction & Demolition Waste Management] Notifications for request status and updates
Construction & Demolition Waste Management,Role-based workflow for municipal employees and collection agencies,Paragraph,[Construction & Demolition Waste Management] Role-based workflow for municipal employees and collection agencies
Construction & Demolition Waste Management,Scheduling of pickup requests and assigning authorized vendors,Paragraph,[Construction & Demolition Waste Management] Scheduling of pickup requests and assigning authorized vendors
Construction & Demolition Waste Management,Reporting and analytics for monitoring and planning,Paragraph,[Construction & Demolition Waste Management] Reporting and analytics for monitoring and planning
Construction & Demolition Waste Management,Functional Requirements:,Paragraph,[Construction & Demolition Waste Management] Functional Requirements:
Construction & Demolition Waste Management,S.No. | Feature Category | Feature Details,Table,[Construction & Demolition Waste Management] S.No. | Feature Category | Feature Details
Construction & Demolition Waste Management,CD1 | Registration & Authentication | Citizen can register using mobile number/OTP,Table,[Construction & Demolition Waste Management] CD1 | Registration & Authentication | Citizen can register using mobile number/OTP
Construction & Demolition Waste Management,CD2 | Login | OTP-based login for citizens,Table,[Construction & Demolition Waste Management] CD2 | Login | OTP-based login for citizens
Construction & Demolition Waste Management,CD3 | Profile Management | Citizens can update personal and address details,Table,[Construction & Demolition Waste Management] CD3 | Profile Management | Citizens can update personal and address details
Construction & Demolition Waste Management,CD4 | Waste Request | Submit request for C&D waste collection,Table,[Construction & Demolition Waste Management] CD4 | Waste Request | Submit request for C&D waste collection
Construction & Demolition Waste Management,"CD5 | Waste Type Selection | Select type of waste (concrete, bricks, soil, etc.)",Table,"[Construction & Demolition Waste Management] CD5 | Waste Type Selection | Select type of waste (concrete, bricks, soil, etc.)"
Construction & Demolition Waste Management,CD6 | Quantity Input | Enter quantity of waste to be collected,Table,[Construction & Demolition Waste Management] CD6 | Quantity Input | Enter quantity of waste to be collected
Construction & Demolition Waste Management,CD7 | Facility Deposit Option | Option to directly deposit at authorized facility center,Table,[Construction & Demolition Waste Management] CD7 | Facility Deposit Option | Option to directly deposit at authorized facility center
Construction & Demolition Waste Management,CD8 | Upload Documents | Upload supporting documents if required,Table,[Construction & Demolition Waste Management] CD8 | Upload Documents | Upload supporting documents if required
Construction & Demolition Waste Management,CD9 | Request Submission | Submit completed request,Table,[Construction & Demolition Waste Management] CD9 | Request Submission | Submit completed request
Construction & Demolition Waste Management,CD10 | Request ID Generation | System generates unique Request/Application ID,Table,[Construction & Demolition Waste Management] CD10 | Request ID Generation | System generates unique Request/Application ID
Construction & Demolition Waste Management,CD11 | Request Tracking | Track status via “My Applications”,Table,[Construction & Demolition Waste Management] CD11 | Request Tracking | Track status via “My Applications”
Construction & Demolition Waste Management,CD12 | Notifications | Receive alerts for pickup or facility updates,Table,[Construction & Demolition Waste Management] CD12 | Notifications | Receive alerts for pickup or facility updates
Construction & Demolition Waste Management,CD13 | History | View past submissions and statuses,Table,[Construction & Demolition Waste Management] CD13 | History | View past submissions and statuses
Construction & Demolition Waste Management,CD14 | Acknowledgment | Download acknowledgment or receipt of request,Table,[Construction & Demolition Waste Management] CD14 | Acknowledgment | Download acknowledgment or receipt of request
Construction & Demolition Waste Management,CD15 | Login | Role-based login for municipal employees and vendors,Table,[Construction & Demolition Waste Management] CD15 | Login | Role-based login for municipal employees and vendors
Construction & Demolition Waste Management,CD16 | Dashboard | View all submitted C&D waste requests,Table,[Construction & Demolition Waste Management] CD16 | Dashboard | View all submitted C&D waste requests
Construction & Demolition Waste Management,CD17 | Request Assignment | Assign requests to authorized collection vendors,Table,[Construction & Demolition Waste Management] CD17 | Request Assignment | Assign requests to authorized collection vendors
Construction & Demolition Waste Management,CD18 | Request Verification | Verify details of submitted requests,Table,[Construction & Demolition Waste Management] CD18 | Request Verification | Verify details of submitted requests
